cond1rep1	cond1rep2	cond1rep3	cond1rep4	cond1rep5	cond2rep1	cond2rep2	cond2rep3	cond2rep4	cond2rep5
gene500	917	861	847	843	922	1683	1576	1660	1773	1556
gene501	39	44	38	41	32	44	37	41	41	44
gene502	4458	4529	4327	4470	4704	4750	4974	4865	5072	4503
gene503	56	50	57	67	55	100	84	91	114	107
gene504	265	331	267	313	282	338	310	263	217	276
gene505	6	9	16	10	14	11	12	14	17	7
gene506	141	135	125	175	146	128	119	146	150	168
gene507	1703	1830	1858	1623	1930	2262	1547	1783	1779	1693
gene508	1013	862	965	960	832	882	1030	814	958	900
gene509	3539	3667	3608	3632	3485	3706	4252	3488	3261	4320
gene510	207	177	157	187	156	192	179	214	175	180
gene511	5136	5787	5918	4824	4876	5148	5877	5268	5104	5492
gene512	39	54	54	32	56	47	64	51	50	42
gene513	38	26	28	41	25	37	25	30	27	29
gene514	49	57	53	54	45	56	57	35	61	47
gene515	476	432	483	452	526	488	521	445	598	431
gene516	5206	4943	5004	4855	5409	4794	5048	5264	5086	5086
gene517	9	13	14	17	11	13	15	19	7	7
gene518	766	639	799	757	708	714	652	788	783	798
gene519	13	21	18	25	20	13	21	25	12	14
gene520	168	191	188	162	159	180	174	196	165	225
gene521	26	32	25	32	27	20	22	29	35	43
gene522	35	36	40	27	30	27	32	36	40	32
gene523	9	15	12	15	15	15	11	21	9	21
gene524	42	62	57	63	54	58	53	43	47	40
gene525	190	195	181	157	177	182	202	158	184	166
gene526	32	34	50	37	37	41	38	30	35	52
gene527	10	9	13	17	14	9	12	12	12	12
gene528	90	96	110	116	104	237	254	186	212	215
gene529	7201	7406	7981	7578	6952	7746	6987	8147	8109	7772
gene530	118	127	125	102	125	249	238	223	235	253
gene531	7354	7126	8086	7100	7249	8168	7755	8639	7149	7156
gene532	913	883	891	802	921	1816	1824	1939	1960	1801
gene533	233	169	212	175	191	194	231	195	203	202
gene534	4501	4980	4528	4564	4418	4731	4685	4688	4991	4493
gene535	1811	2019	1902	2103	1867	4191	3773	3977	3894	3894
gene536	19	20	18	21	16	19	14	28	19	37
gene537	95	83	76	91	84	90	70	91	109	92
gene538	1433	1517	1548	1515	1448	1645	1438	1591	1457	1488
gene539	66	48	48	57	63	60	62	80	61	56
gene540	13	27	24	15	15	15	16	22	19	18
gene541	10366	10492	7701	9260	10297	18752	16759	18207	19979	16858
gene542	13	10	14	19	12	12	23	7	21	17
gene543	112	93	97	92	89	63	100	85	84	79
gene544	365	327	417	359	336	333	364	342	318	302
gene545	2375	2459	2486	2276	2236	2671	2197	2580	2303	2602
gene546	286	264	274	266	199	244	229	234	225	248
gene547	33	54	49	33	33	48	44	45	45	41
gene548	16	14	11	15	15	10	16	12	12	5
gene549	716	594	683	683	705	666	643	634	713	626
gene550	6	9	12	6	10	5	7	7	5	9
gene551	52	55	59	57	62	70	38	41	51	44
gene552	974	952	979	1014	824	857	873	867	901	905
gene553	36	25	35	30	30	38	28	37	26	29
gene554	292	305	250	263	256	298	263	280	272	320
gene555	65	57	69	57	53	52	66	67	66	71
gene556	3287	4053	2981	3689	3371	3609	3545	3561	3564	3526
gene557	1686	1520	1549	1443	1646	1751	1787	1773	1649	1671
gene558	6705	6555	7741	8061	6755	7242	7022	7427	7497	6539
gene559	1912	1988	1795	1813	1791	1789	1840	1741	1971	1893
gene560	441	456	442	485	458	857	921	860	825	812
gene561	3786	3899	3593	3809	3366	3413	3875	3391	3698	3811
gene562	1228	1155	1150	1151	1184	1333	1348	1305	1278	1111
gene563	4040	4092	4256	3494	3619	3918	3849	3502	3659	3862
gene564	1663	1952	1820	1572	1330	1838	1732	1769	1390	1632
gene565	1249	1312	1451	1424	1188	1373	1290	1362	1303	1129
gene566	462	409	484	358	443	385	494	400	459	450
gene567	55	69	64	65	55	68	60	48	57	50
gene568	142	110	121	123	119	238	275	210	199	263
gene569	2091	1700	1925	1781	2102	1775	1612	1910	2026	2124
gene570	402	501	360	419	401	459	382	355	458	425
gene571	32	34	19	26	21	34	28	27	23	23
gene572	28	25	23	21	25	23	19	34	20	27
gene573	52	45	36	63	47	54	53	36	49	45
gene574	221	263	213	214	198	267	204	210	175	234
gene575	83	92	74	72	67	89	64	79	74	66
gene576	55	78	56	84	75	78	88	73	74	71
gene577	79	65	79	67	69	76	73	91	66	62
gene578	253	256	250	235	271	241	276	240	252	258
gene579	2883	3531	2527	3187	2804	2965	3233	3123	2832	2748
gene580	570	547	601	548	580	649	576	609	676	674
gene581	132	123	126	145	129	143	144	177	116	158
gene582	1234	1508	1690	1536	1584	1533	1529	1561	1564	1589
gene583	129	135	117	126	119	123	128	105	134	129
gene584	5014	4980	5540	5256	5227	5551	5045	5362	4836	5609
gene585	59	72	63	58	48	57	43	58	50	47
gene586	786	772	781	751	749	749	666	670	673	774
gene587	16	18	19	25	22	17	28	21	22	34
gene588	114	110	96	88	105	105	119	102	124	83
gene589	1521	1649	1556	1458	1670	1619	1601	1425	1475	1641
gene590	250	319	265	284	339	262	225	290	309	279
gene591	86	120	90	134	106	109	109	121	122	132
gene592	281	314	268	269	254	260	271	284	284	275
gene593	34	41	47	47	55	38	46	51	44	41
gene594	1355	1559	1554	1475	1472	1394	1332	1474	1653	1374
gene595	158	120	112	136	119	144	109	122	124	128
gene596	36	48	21	61	38	37	57	47	43	36
gene597	2050	2070	2143	2088	1947	2147	2144	2145	2178	2044
gene598	2104	2215	1939	2200	1978	2004	1919	2169	2011	2101
gene599	1197	1371	1188	1456	1349	1195	1315	1389	1321	1164
gene600	253	190	210	204	261	210	224	198	237	227
gene601	1435	1412	1414	1372	1818	1665	1737	1563	1632	1440
gene602	227	221	241	194	231	260	251	288	236	256
gene603	647	684	747	657	692	899	717	800	722	632
gene604	13	9	15	11	16	23	16	14	25	16
gene605	1268	1193	1222	1231	1300	1250	1346	1288	1314	1450
gene606	53	75	65	69	63	60	61	56	53	60
gene607	1505	1505	1395	1621	1593	1453	1613	1650	1589	1468
gene608	2348	2664	2817	2379	2654	5413	5213	4677	5667	5549
gene609	6484	6957	7393	8633	6787	7695	7026	7135	8464	7999
gene610	122	99	114	95	84	92	98	83	93	82
gene611	1131	1219	1007	1127	1275	1174	1039	937	1112	1185
gene612	449	551	458	499	443	394	420	444	396	484
gene613	3277	4455	3761	3771	3917	8083	7627	7565	8222	8477
gene614	324	333	310	251	269	316	305	287	268	251
gene615	259	269	225	193	221	223	258	217	269	219
gene616	191	141	180	155	184	163	199	193	168	181
gene617	120	127	136	153	130	122	125	182	128	147
gene618	3728	3471	3532	3383	3415	3151	3583	3340	3577	3491
gene619	42	36	42	51	36	41	33	33	37	25
gene620	134	134	111	117	133	130	107	142	123	120
gene621	2761	3249	3085	3011	3074	2775	2965	3090	2481	3568
gene622	3673	4529	4478	4656	4375	4299	4153	4921	4552	3936
gene623	467	367	373	393	453	346	477	375	409	432
gene624	3036	2995	3307	3196	2847	3401	3254	3169	3250	3708
gene625	80	73	73	66	62	63	78	87	85	83
gene626	267	273	269	321	343	281	327	294	289	291
gene627	34	34	34	37	35	46	32	33	41	32
gene628	4136	5083	3929	4730	3764	4576	4462	4305	3820	3949
gene629	1038	1004	1011	833	932	1003	922	892	927	1114
gene630	3766	3253	3457	3565	4199	3407	3994	3283	3460	3449
gene631	305	295	298	310	259	318	244	265	265	331
gene632	445	383	453	496	438	512	416	466	423	473
gene633	18	27	19	31	12	22	20	17	17	20
gene634	48	47	47	39	56	53	54	56	47	61
gene635	7141	7757	7772	8555	7146	7763	7824	8563	8202	6937
gene636	395	357	411	413	422	390	395	395	381	376
gene637	64	78	84	82	64	143	146	128	141	125
gene638	27	22	16	30	29	30	25	22	30	29
gene639	297	363	330	360	263	316	363	321	291	313
gene640	8862	7723	9115	9060	8710	9207	8478	9158	9585	9100
gene641	139	116	120	142	139	156	114	129	126	144
gene642	3008	2694	2645	2616	2610	2535	2576	2466	2738	2874
gene643	3183	3607	3506	3612	3758	3270	3319	4114	3835	3372
gene644	491	401	443	500	404	831	881	853	946	951
gene645	5016	4869	4593	5620	4615	4691	4881	4905	4635	5245
gene646	501	482	587	541	528	602	558	583	581	615
gene647	3313	2996	2555	3055	2784	3080	2805	3214	3062	2969
gene648	59	55	42	51	46	51	51	44	36	47
gene649	335	329	312	360	362	342	316	285	409	313
gene650	109	86	118	118	124	104	106	117	94	102
gene651	89	73	85	78	97	91	82	79	73	77
gene652	15	7	17	11	8	9	11	4	15	8
gene653	546	506	545	668	569	467	588	619	544	594
gene654	280	330	342	372	354	336	394	378	377	361
gene655	41	54	50	38	31	38	37	37	28	46
gene656	304	411	311	315	301	279	304	321	317	315
gene657	2409	2397	2165	2252	2292	2383	2221	2186	2329	2124
gene658	699	605	744	682	663	668	653	786	663	715
gene659	16	12	6	9	10	10	13	12	10	13
gene660	1977	1998	1772	1762	2045	1872	2015	1864	1957	1892
gene661	97	103	90	118	84	102	107	77	73	89
gene662	326	353	367	400	408	355	313	350	374	389
gene663	131	107	131	104	134	262	254	242	230	245
gene664	16	23	27	20	33	26	20	27	27	30
gene665	7945	8689	7171	7284	6942	7641	8735	8970	8750	8018
gene666	3754	3832	3970	3039	3397	3428	3458	3877	3487	3374
gene667	1005	930	969	920	925	2058	1978	2089	1904	2108
gene668	163	146	146	153	134	292	311	274	298	312
gene669	255	342	302	289	335	291	315	351	292	337
gene670	5446	5151	5180	5209	4926	4520	4356	5727	4994	5444
gene671	23	24	39	23	21	32	24	28	24	30
gene672	713	655	747	775	764	655	647	620	721	674
gene673	6573	7893	7032	6969	7426	6916	7072	7531	7188	7299
gene674	2781	2774	3459	3055	3410	3364	2995	3246	3511	3249
gene675	283	299	218	303	247	269	247	256	235	263
gene676	19	32	35	17	32	30	26	27	43	34
gene677	429	501	548	479	505	1040	982	977	885	1041
gene678	88	70	74	83	80	64	69	61	66	73
gene679	35	44	41	47	48	80	73	83	79	84
gene680	6262	7150	6271	6131	5698	6598	5766	6403	5669	6504
gene681	2278	2376	2398	2246	2421	2309	2561	2432	2488	2401
gene682	59	59	55	62	51	59	61	69	63	46
gene683	17	26	24	17	23	28	18	19	27	24
gene684	1881	1729	1731	1582	1634	1666	1567	1843	1548	1589
gene685	1510	1340	1410	1465	1462	2531	2868	2757	3128	2886
gene686	41	39	41	55	30	42	54	45	48	38
gene687	2331	1915	1975	2468	2168	1977	1923	2072	1854	2412
gene688	1256	1249	1383	1108	1250	1147	1255	1068	1216	1099
gene689	1097	1063	1109	984	955	984	1070	991	1150	937
gene690	40	28	30	40	40	35	44	37	39	36
gene691	4376	4764	4125	4820	4358	4706	4778	4495	4685	5161
gene692	16	14	10	19	17	16	20	17	15	18
gene693	3436	3238	3128	3390	3726	3202	3189	3852	3171	3453
gene694	4965	5163	5316	5602	5673	5309	5561	5692	5323	5845
gene695	46	55	68	42	53	54	46	47	44	60
gene696	366	407	388	358	378	850	693	818	739	799
gene697	10	9	6	9	11	12	10	7	5	10
gene698	2649	2634	2507	2569	2516	2281	2337	2610	2483	2377
gene699	54	68	68	81	73	86	67	64	75	52
gene700	839	934	782	934	900	871	830	893	856	880
gene701	3085	3472	3448	3580	3328	3615	3521	3739	3136	3279
gene702	331	342	356	352	328	357	340	366	331	369
gene703	6395	7349	6437	6682	6897	7352	7718	6694	6224	6507
gene704	256	269	187	206	227	222	285	167	243	188
gene705	192	199	236	233	265	214	214	220	212	182
gene706	5394	5844	5590	5781	5927	5406	6379	5332	5222	6023
gene707	9290	10465	9754	9633	10912	9414	10073	8704	9422	10476
gene708	19	19	18	17	22	22	13	29	15	28
gene709	1572	1665	1772	1727	1828	1523	1612	1847	1607	1889
gene710	1438	1360	1429	1613	1468	1293	1539	1486	1535	1265
gene711	24	27	20	18	17	19	18	19	16	17
gene712	30	29	47	31	43	39	34	44	33	35
gene713	1476	1525	1476	1354	1683	1401	1544	1547	1335	1723
gene714	27	20	23	17	26	29	24	17	26	22
gene715	16	14	9	16	16	16	14	12	14	13
gene716	1997	1923	2014	1766	2052	1841	2215	1999	2119	2001
gene717	229	264	279	258	299	458	466	468	536	524
gene718	4764	5130	4633	4646	4190	4695	5299	5012	5268	4714
gene719	73	63	50	77	77	60	58	85	62	60
gene720	687	626	569	738	630	1169	1319	1372	1215	1625
gene721	2878	2608	2746	3145	2731	2777	2791	3063	2876	2868
gene722	95	106	105	92	80	111	82	100	109	88
gene723	90	91	117	111	92	76	95	99	88	100
gene724	1410	1776	1790	1417	1505	1735	1631	1509	1831	1612
gene725	11	11	12	14	9	12	14	10	17	12
gene726	402	337	336	420	358	656	653	775	638	700
gene727	10	13	1	7	9	9	5	10	12	12
gene728	132	117	117	135	145	292	240	213	218	266
gene729	393	391	389	321	324	383	429	369	372	344
gene730	1601	1463	1566	1520	1475	1529	1486	1397	1524	1572
gene731	686	749	757	712	714	732	764	750	681	861
gene732	20	17	13	13	18	23	19	22	18	17
gene733	6577	6427	6833	7217	6506	5917	6069	6702	7683	6240
gene734	628	611	715	616	633	645	565	659	553	661
gene735	1335	1471	1284	1541	1526	1265	1522	1704	1439	1532
gene736	4834	4456	4827	4396	5067	4273	4454	5049	4332	4402
gene737	35	27	34	32	26	34	22	44	17	30
gene738	1827	1647	1946	1775	1816	1673	2007	1960	1868	1896
gene739	22	27	20	19	23	18	25	23	30	24
gene740	37	34	42	41	36	42	49	41	37	33
gene741	15	11	13	13	13	8	14	6	13	11
gene742	865	838	726	832	925	796	772	792	897	889
gene743	200	188	198	179	194	375	418	313	408	335
gene744	493	585	558	569	547	567	538	599	603	484
gene745	1072	954	1197	1155	1091	1121	1093	1060	1149	895
gene746	3813	3127	3226	3562	3558	3280	3080	3784	2980	3124
gene747	644	694	555	740	657	711	710	666	712	597
gene748	231	237	223	250	224	224	246	216	203	237
gene749	47	29	44	43	36	28	35	40	43	45
gene750	10388	9975	10055	8210	9449	8849	9542	9355	9506	10480
gene751	6146	6151	5786	6933	6024	7624	6361	5984	7562	6515
gene752	22	11	20	19	21	29	22	24	25	23
gene753	17	26	24	19	21	17	16	18	19	18
gene754	2214	2174	2329	2378	2365	2380	2226	2289	2206	2401
gene755	21	19	22	19	24	18	18	32	13	23
gene756	486	483	481	426	371	475	450	486	412	387
gene757	1392	1350	1190	1144	1409	1298	1278	1334	1153	1243
gene758	39	39	45	49	34	45	35	57	36	45
gene759	186	167	179	201	151	353	315	386	313	367
gene760	144	102	100	135	109	136	132	142	142	130
gene761	320	366	358	344	372	395	463	390	359	388
gene762	160	177	199	167	173	160	172	183	165	144
gene763	25	41	31	21	25	23	17	35	19	24
gene764	2277	2664	2575	2917	2432	2647	2568	2857	2446	2535
gene765	1105	1304	1246	1266	1220	2572	2533	2525	2048	2413
gene766	17	6	11	10	18	14	18	6	13	13
gene767	774	760	864	767	816	807	822	792	771	743
gene768	27	32	13	17	22	20	24	22	23	17
gene769	651	610	681	735	707	664	637	763	704	723
gene770	16	4	6	13	11	11	10	12	9	9
gene771	117	101	98	104	83	97	111	99	106	94
gene772	7246	6493	6271	6341	6833	7376	7122	6995	7112	8442
gene773	311	340	321	291	325	341	331	344	322	296
gene774	1537	1411	1270	1568	1361	1278	1373	1256	1264	1430
gene775	90	137	107	130	114	116	158	129	116	112
gene776	90	80	82	84	87	180	163	155	183	170
gene777	132	139	133	91	98	133	110	109	117	136
gene778	706	848	744	870	738	718	807	814	865	885
gene779	44	42	52	49	54	38	42	40	40	41
gene780	2089	1685	1724	1912	1882	2201	1766	1742	1863	1753
gene781	29	32	31	20	42	32	34	35	38	34
gene782	6302	6619	5964	5646	6838	7033	6506	6607	7491	5972
gene783	85	84	91	104	105	88	95	113	88	100
gene784	868	876	981	881	885	1916	2067	1896	1866	1908
gene785	8930	8848	7649	8585	8484	9074	9042	8147	8684	8974
gene786	3639	3665	3842	4176	3770	7490	7537	7368	7420	7305
gene787	74	69	58	58	58	72	78	81	68	67
gene788	1644	1572	1632	1562	1768	1657	1619	1587	1580	1736
gene789	61	56	59	53	70	54	48	58	42	52
gene790	397	423	475	398	450	414	445	430	476	401
gene791	3369	3342	3444	2981	3188	2702	3274	3134	3253	2924
gene792	875	817	865	793	919	809	849	967	744	912
gene793	234	194	218	209	223	257	214	264	248	230
gene794	178	164	143	161	155	167	141	154	147	143
gene795	3127	3736	3151	3651	3525	3176	2952	3057	3304	3630
gene796	2241	2193	1844	2060	2122	1977	1688	1891	1815	1940
gene797	423	451	529	409	472	326	444	416	425	422
gene798	2055	2299	2306	1873	1966	2037	1938	2270	2041	1840
gene799	1152	1165	1234	1128	1082	1408	1407	1296	1210	1132
gene800	41	61	53	44	33	50	55	42	45	51
gene801	1392	1437	1301	1374	1470	1326	1270	1386	1516	1481
gene802	47	58	37	55	57	45	42	45	38	48
gene803	5319	6200	6237	5183	6378	5737	5198	5696	5465	5833
gene804	2896	2544	2914	2615	2974	2957	3185	2747	2727	2635
gene805	27	21	17	34	19	17	25	16	36	29
gene806	176	201	223	184	234	205	209	209	202	215
gene807	9924	10002	9569	10142	9100	9236	10013	10919	9709	10471
gene808	823	885	969	794	774	794	705	804	807	828
gene809	11	14	6	12	9	12	17	8	18	8
gene810	348	395	444	357	402	344	420	382	382	334
gene811	2156	1929	2105	2187	1782	2136	2104	2159	2040	2071
gene812	120	101	119	101	108	123	84	108	132	127
gene813	29	28	29	25	30	25	27	24	27	37
gene814	4625	5042	5163	5115	5680	5571	5217	4740	4620	5413
gene815	627	624	688	623	794	593	692	598	612	700
gene816	223	233	239	272	227	229	220	229	241	247
gene817	482	396	454	369	451	443	467	428	450	535
gene818	12	9	14	14	12	10	11	17	16	1
gene819	148	120	154	159	175	127	143	142	143	155
gene820	1216	1429	1292	1270	1492	1589	1335	1470	1416	1164
gene821	70	77	93	71	70	48	86	63	73	63
gene822	753	713	817	760	864	1639	1436	1598	1490	1592
gene823	15	12	19	9	15	18	25	19	12	9
gene824	3958	4253	3719	3789	3946	3973	3781	3631	3781	4030
gene825	15	8	9	9	9	10	4	12	13	13
gene826	329	392	320	442	390	359	389	423	370	312
gene827	68	70	59	82	77	66	63	80	66	73
gene828	342	402	356	357	316	331	330	283	352	331
gene829	57	43	52	58	44	121	130	94	124	125
gene830	124	91	106	107	115	123	110	125	93	92
gene831	14	22	21	15	12	24	21	16	16	7
gene832	41	51	57	36	59	38	55	26	41	44
gene833	84	83	102	93	87	89	68	85	84	80
gene834	41	49	42	51	40	50	37	44	52	52
gene835	2533	2945	2576	2479	2493	2696	2653	2515	2650	3103
gene836	18	18	24	21	25	18	24	20	26	21
gene837	9179	8704	8226	8709	9338	7013	8097	8936	8520	8135
gene838	1824	1737	1831	2055	2110	1947	1821	1837	1958	1995
gene839	11	7	17	15	11	20	14	9	12	13
gene840	162	177	163	168	169	329	295	351	321	302
gene841	66	57	68	48	70	80	65	75	68	58
gene842	9810	9834	9755	9477	9101	9234	10355	9955	10274	9349
gene843	619	770	690	659	683	664	682	650	625	664
gene844	619	518	635	577	604	581	518	615	603	592
gene845	22	16	19	19	21	11	24	18	19	20
gene846	731	682	704	683	739	859	707	789	853	696
gene847	842	804	825	677	860	841	692	846	765	812
gene848	173	205	199	185	239	193	171	165	180	144
gene849	5165	6552	5148	5220	4973	5653	5340	5824	4859	5623
gene850	73	81	70	76	63	67	76	68	82	76
gene851	408	304	409	402	408	425	470	404	418	454
gene852	29	32	35	39	40	49	33	37	39	34
gene853	4367	4782	4599	4457	4762	4104	4174	4282	5538	4834
gene854	26	33	34	24	16	22	29	24	36	36
gene855	3237	3003	2618	3526	3311	3177	2925	3023	3268	2941
gene856	12	18	17	15	16	12	16	6	14	19
gene857	1316	1255	1298	1213	1397	1228	1091	1235	1361	1032
gene858	183	204	193	208	229	201	134	194	240	229
gene859	35	38	18	28	24	37	27	30	26	27
gene860	1175	1313	1058	1041	1085	1108	1230	1186	1119	1091
gene861	567	517	592	576	636	550	533	583	518	594
gene862	122	130	125	110	122	103	123	107	128	113
gene863	43	36	61	31	41	28	23	28	37	52
gene864	944	878	855	856	988	830	874	855	1028	957
gene865	58	51	54	54	47	47	51	41	71	59
gene866	619	544	627	591	619	644	575	607	615	590
gene867	2015	2475	2128	2177	1875	2003	2104	1774	2189	2133
gene868	44	41	43	34	50	43	45	42	42	36
gene869	94	53	108	90	87	88	67	93	90	76
gene870	121	134	132	97	125	122	151	110	100	143
gene871	1283	1272	1356	1226	1270	1157	1168	1173	1109	1174
gene872	5818	5607	5772	5348	5196	6126	5308	5027	5144	5306
gene873	110	150	154	140	183	166	141	156	171	126
gene874	1275	1645	1391	1386	1425	2984	2540	3250	2653	2916
gene875	241	219	246	265	267	221	235	264	230	242
gene876	11	12	14	9	12	14	10	12	11	16
gene877	29	40	18	14	25	31	24	28	42	22
gene878	279	298	299	286	306	327	322	334	346	294
gene879	26	29	24	35	25	28	26	26	25	24
gene880	98	99	105	112	120	118	118	125	101	91
gene881	28	20	18	24	20	16	30	23	29	24
gene882	57	66	83	67	63	64	63	71	75	60
gene883	26	35	35	24	47	26	27	32	34	31
gene884	61	52	66	52	55	53	66	59	51	66
gene885	1391	1325	1289	1391	1287	1369	1227	1319	1346	1232
gene886	781	811	883	923	841	724	940	837	836	827
gene887	132	124	109	84	101	117	112	109	101	121
gene888	568	539	543	512	516	517	594	526	606	555
gene889	23	12	20	15	18	17	19	20	11	10
gene890	1664	1472	1698	1710	1919	3196	3164	3343	3555	3330
gene891	1637	1653	1704	1762	1705	1827	1833	1690	1712	1636
gene892	15	12	7	10	7	8	17	13	8	13
gene893	53	47	54	49	61	51	47	42	53	47
gene894	84	76	89	55	93	77	67	70	64	68
gene895	28	34	34	34	35	41	29	28	31	48
gene896	2428	2688	2895	2672	2751	2312	2748	2582	2363	2588
gene897	5180	5512	5592	4921	5086	4960	4277	4330	4589	5447
gene898	94	94	87	87	117	189	169	174	167	154
gene899	243	318	239	274	257	543	493	530	545	549
gene900	3249	2988	3027	2980	3107	6435	5265	6324	6879	6197
gene901	454	473	545	532	525	509	517	497	491	522
gene902	1586	1658	1721	1720	1521	3187	2902	3239	2989	3516
gene903	6368	6811	6262	5815	6034	6840	6239	5605	6119	6079
gene904	924	1032	956	865	862	885	902	992	955	964
gene905	22	13	15	11	9	15	10	13	14	19
gene906	3463	4134	3851	3955	3856	4149	4468	3730	3700	4283
gene907	3514	2993	3493	3350	2933	3191	3436	3196	3589	3419
gene908	67	47	69	58	53	61	59	69	55	50
gene909	1771	1604	1518	1814	1871	1983	1913	1916	1678	1700
gene910	81	83	111	73	94	106	89	93	101	105
gene911	496	506	447	519	481	441	509	435	524	430
gene912	78	58	58	67	93	68	77	67	48	82
gene913	766	827	764	820	722	1447	1517	1682	1448	1675
gene914	20	19	32	23	17	27	24	28	14	22
gene915	2597	2325	2407	2215	2381	2437	2242	2345	2441	2449
gene916	1461	1424	1492	1346	1296	1543	1600	1562	1503	1635
gene917	1031	1108	1055	948	1097	1110	1077	1089	1088	1041
gene918	1289	1239	1456	1349	1402	1369	1351	1288	1276	1288
gene919	27	25	42	25	31	32	28	38	38	22
gene920	3500	3305	3560	3300	3464	3451	3121	3523	3361	3571
gene921	37	32	30	26	30	25	26	20	18	32
gene922	9739	9092	9577	9501	9969	10809	9137	10274	8883	10156
gene923	56	46	43	49	49	54	49	52	67	45
gene924	52	45	61	62	49	50	53	42	43	59
gene925	149	120	155	129	147	281	328	274	341	297
gene926	1470	1529	1474	1396	1519	1523	1562	1526	1312	1544
gene927	2732	2355	2590	2201	2302	2377	2590	2414	2617	2268
gene928	127	118	131	124	143	128	141	114	124	129
gene929	943	815	787	841	868	819	834	902	891	906
gene930	692	593	571	728	681	746	665	652	720	582
gene931	14	24	19	14	23	39	29	50	44	45
gene932	69	74	91	86	83	78	93	60	56	70
gene933	83	89	72	87	69	75	72	96	88	69
gene934	4312	4044	4164	4430	4634	4188	4177	4495	4392	4507
gene935	266	281	266	283	281	307	289	263	274	326
gene936	102	82	73	113	102	106	68	85	83	87
gene937	3857	4386	3667	3978	3354	3613	3536	3452	3664	3730
gene938	152	150	148	120	129	141	129	116	139	159
gene939	83	113	106	93	98	106	89	105	85	79
gene940	49	53	54	62	45	102	115	112	131	133
gene941	588	590	539	598	516	551	632	591	583	640
gene942	36	33	34	38	22	30	39	36	29	44
gene943	24	32	34	26	26	39	20	32	25	30
gene944	62	77	78	96	75	78	75	66	80	79
gene945	2629	2714	2543	2733	2657	2652	2467	2527	2846	2297
gene946	2412	2495	2653	2651	2531	2883	2661	2669	2307	3117
gene947	9	18	15	7	15	13	11	19	10	14
gene948	2621	3082	2924	3572	3018	2946	3207	2733	2938	3485
gene949	20	20	23	9	10	22	19	12	18	16
gene950	343	275	293	310	286	616	710	625	695	639
gene951	6999	6426	7047	6503	6924	6439	7690	7764	7284	6949
gene952	3712	3205	3272	3341	3596	3466	2709	3352	2836	2931
gene953	1386	1286	1294	1319	1430	1268	1437	1425	1365	1353
gene954	6408	5996	6455	6326	5501	6236	6380	6090	5927	6152
gene955	1263	1151	1132	1177	1140	1255	1197	1077	1233	1296
gene956	43	59	40	49	43	41	37	41	39	48
gene957	108	108	115	92	115	118	98	120	117	91
gene958	176	162	167	162	161	164	177	185	163	183
gene959	22	24	19	25	26	20	19	29	20	29
gene960	2682	3529	3494	2726	3046	2690	3208	3056	3074	3176
gene961	838	788	902	852	806	783	926	974	915	831
gene962	5521	5332	5824	4859	5567	5128	4845	6113	5198	5062
gene963	454	461	358	348	394	393	429	427	429	322
gene964	19	13	23	8	15	9	19	13	15	14
gene965	601	680	714	604	566	654	616	581	530	539
gene966	530	582	493	489	557	564	465	512	564	472
gene967	222	256	213	272	243	224	281	220	289	246
gene968	42	50	42	29	34	42	41	30	54	48
gene969	393	448	466	477	462	496	442	464	458	481
gene970	7577	7900	7885	7908	8122	7296	8846	8168	7744	8099
gene971	60	74	71	74	68	72	78	71	64	52
gene972	2660	3145	3241	2547	3285	3023	2987	3168	2994	3099
gene973	49	43	41	44	54	36	55	60	42	47
gene974	201	195	272	233	242	205	236	197	188	239
gene975	891	819	826	946	853	966	889	903	921	852
gene976	19	19	29	15	16	18	17	16	13	24
gene977	3768	4586	3929	3945	4774	4122	4449	4368	4071	4035
gene978	21	13	12	16	9	13	13	11	16	12
gene979	1973	2275	2155	1914	1968	1800	2054	2311	1971	1970
gene980	5100	4995	5118	4222	4818	4504	4731	4598	5008	4431
gene981	30	22	20	19	30	17	24	29	28	20
gene982	68	62	80	60	59	138	143	146	115	98
gene983	152	185	178	197	176	157	177	167	159	164
gene984	1891	1864	1959	2304	1966	1893	2046	1918	1715	2159
gene985	1531	1628	1650	1609	1890	1642	1830	1761	1926	1525
gene986	197	198	207	224	179	186	246	208	167	180
gene987	283	261	329	297	281	331	321	271	306	338
gene988	188	215	177	202	168	238	166	225	183	185
gene989	2663	2444	2878	2578	2894	2750	2484	2536	2604	3051
gene990	688	732	741	757	754	658	724	707	808	710
gene991	698	634	694	663	601	612	707	674	685	631
gene992	34	37	26	31	26	40	31	34	25	20
gene993	573	601	616	675	650	641	681	606	567	595
gene994	20	13	23	15	20	18	16	5	11	10
gene995	147	106	109	92	136	121	140	106	134	135
gene996	1626	1448	1571	1646	1400	3055	3171	2890	2721	3177
gene997	6100	5229	5806	5595	5828	5667	5508	5456	5779	5808
gene998	154	228	186	186	198	198	191	201	218	280
gene999	201	181	200	180	188	176	168	180	185	214
gene1000	2820	2748	2963	2793	2774	3204	2378	2646	2771	2950
